Point_ID,geometry,Latitude,Longitude,grid_number,CP_ID,Slow,Fast,Rapid,Total
C1,POINT (-3.068633290119877 56.45677168000323),56.4567716800032,-3.06863329011988,59,51062,,1,,1
C2,POINT (-3.057191218106697 56.46983341001484),56.4698334100148,-3.0571912181067,76,SCO50884,,1,,2
,POINT (-3.055854298105322 56.47083197001567),56.4708319700157,-3.05585429810532,76,50549,1,,,
C3,POINT (-3.035286987090617 56.46548131000807),56.4654813100081,-3.03528698709062,117,50266,1,,,2
,POINT (-3.035060301090452 56.46543565000801),56.465435650008,-3.03506030109045,117,50842,1,,,
C4,POINT (-3.011192785069142 56.47296514001275),56.4729651400127,-3.01119278506914,146,51085,1,,,1
C5,POINT (-3.01161460306938 56.4732724500131),56.4732724500131,-3.01161460306938,147,50268,1,,,1
C6,POINT (-3.014352513066846 56.4883823900283),56.4883823900283,-3.01435251306685,150,50840,1,,,1
C7,POINT (-3.005973724066465 56.46826957000752),56.4682695700075,-3.00597372406647,159,50843,1,,,1
C8,POINT (-3.002456448062209 56.47296831001176),56.4729683100118,-3.00245644806221,160,50230,1,,,3
,POINT (-3.002452997062247 56.47283759001163),56.4728375900116,-3.00245299706225,160,50523,1,,,
,POINT (-3.002449860062281 56.47271876001152),56.4727187600115,-3.00244986006228,160,50522,1,,,
C9,POINT (-3.003684246058775 56.48710221002585),56.4871022100259,-3.00368424605877,163,50265,1,,,1
C10,POINT (-2.992652750057255 56.46394318000177),56.4639431800018,-2.99265275005726,173,50261,1,,,2
,POINT (-2.992575912057214 56.46387843000169),56.4638784300017,-2.99257591205721,173,50262,1,,,
C11,POINT (-2.984288107053444 56.45494890999196),56.454948909992,-2.98428810705344,185,51132,,1,,1
C12,POINT (-2.983589987051376 56.45978599999665),56.4597859999966,-2.98358998705138,186,50566,,,1,1
C13,POINT (-2.986113461047594 56.47826452001511),56.4782645200151,-2.98611346104759,189,50234,1,,,9
,POINT (-2.985820653047379 56.47822142001506),56.4782214200151,-2.98582065304738,189,50236,1,,,
,POINT (-2.985680611047271 56.47820470001501),56.478204700015,-2.98568061104727,189,50238,1,,,
,POINT (-2.985540569047166 56.47818799001499),56.478187990015,-2.98554056904717,189,50270,1,,,
,POINT (-2.985389636047053 56.47816541001494),56.4781654100149,-2.98538963604705,189,50271,1,,,
,POINT (-2.985195755046907 56.4781431800149),56.4781431800149,-2.98519575504691,189,50272,1,,,
,POINT (-2.98596085004748 56.4782440800151),56.4782440800151,-2.98596085004748,189,50271,1,,,
,POINT (-2.985301001046906 56.47840766001517),56.4784076600152,-2.98530100104691,190,50339,,,1,
,POINT (-2.986253349047703 56.47827529001518),56.4782752900152,-2.9862533490477,190,50232,1,,,
C14,POINT (-2.973600254044398 56.4568252699926),56.4568252699926,-2.9736002540444,199,50315,,,1,2
,POINT (-2.973511090044359 56.45672602999249),56.4567260299925,-2.97351109004436,199,50349,1,,,
C15,POINT (-2.977267882046595 56.45907814999522),56.4590781499952,-2.9772678820466,200,50909,,1,,1
C16,POINT (-2.975158002041855 56.46887950000465),56.4688795000046,-2.97515800204186,202,51229,1,,,1
C17,POINT (-2.97508591803693 56.48444556001999),56.48444556002,-2.97508591803693,205,51355,1,,,2
,POINT (-2.975113894036988 56.48432928001987),56.4843292800199,-2.97511389403699,205,Unknown,1,,,
C18,POINT (-2.966068946036514 56.46297437999781),56.4629743799978,-2.96606894603651,214,50908,,1,,1
C19,POINT (-2.966793940037942 56.46024693999519),56.4602469399952,-2.96679394003794,214,50910,,1,,1
C20,POINT (-2.969764351040354 56.46004579999533),56.4600457999953,-2.96976435104035,214,50243,1,,,1
C21,POINT (-2.973004172038995 56.47256850000806),56.4725685000081,-2.973004172039,216,50875,,1,,10
,POINT (-2.972894258038843 56.47277409000825),56.4727740900083,-2.97289425803884,216,50769,,,1,
,POINT (-2.973178028039118 56.47261582000812),56.4726158200081,-2.97317802803912,216,50874,,1,,
,POINT (-2.972486247038626 56.47243702000785),56.4724370200079,-2.97248624703863,216,50878,,1,,
,POINT (-2.972578367038623 56.47267996000809),56.4726799600081,-2.97257836703862,216,50771,,,1,
,POINT (-2.972648647038739 56.47248923000793),56.4724892300079,-2.97264864703874,216,50877,,1,,
,POINT (-2.972405232038502 56.47262783000803),56.472627830008,-2.9724052320385,216,50772,,,1,
,POINT (-2.972853684038889 56.47252923000798),56.472529230008,-2.97285368403889,216,50876,,1,,
,POINT (-2.972740616038738 56.47272623000818),56.4727262300082,-2.97274061603874,216,50770,,,1,
,POINT (-2.972210778038363 56.47258181000797),56.472581810008,-2.97221077803836,216,50773,,,1,
C22,POINT (-2.941636877012348 56.4784757300103),56.4784757300103,-2.94163687701235,259,50789,1,,,1
C23,POINT (-2.947257234011296 56.49601845002823),56.4960184500282,-2.9472572340113,263,50267,1,,,2
,POINT (-2.947475877011469 56.49601598002825),56.4960159800282,-2.94747587701147,263,50338,,,1,
C24,POINT (-2.935811869006574 56.48222221001335),56.4822222100133,-2.93581186900657,274,50269,1,,,1
C25,POINT (-2.922165428996865 56.47885970000849),56.4788597000085,-2.92216542899686,288,50562,1,,,1
C26,POINT (-2.911969681990928 56.47218453000076),56.4721845300008,-2.91196968199093,300,50800,1,,,1
