Point_ID,Latitude,Longitude,grid_number,Slow,Fast,Rapid,Total
C1,56.4567716800032,-3.06863329011988,59,0,1,0,1
C2,56.4698334100148,-3.0571912181067,76,1,1,0,2
C3,56.4654813100081,-3.03528698709062,117,2,0,0,2
C4,56.4729651400127,-3.01119278506914,146,1,0,0,1
C5,56.4732724500131,-3.01161460306938,147,1,0,0,1
C6,56.4883823900283,-3.01435251306685,150,1,0,0,1
C7,56.4682695700075,-3.00597372406647,159,1,0,0,1
C8,56.4729683100118,-3.00245644806221,160,3,0,0,3
C9,56.4871022100259,-3.00368424605877,163,1,0,0,1
C10,56.4639431800018,-2.99265275005726,173,2,0,0,2
C11,56.454948909992,-2.98428810705344,185,0,1,0,1
C12,56.4597859999966,-2.98358998705138,186,0,0,1,1
C13,56.4782645200151,-2.98611346104759,189,8,0,1,9
C14,56.4568252699926,-2.9736002540444,199,1,0,1,2
C15,56.4590781499952,-2.9772678820466,200,0,1,0,1
C16,56.4688795000046,-2.97515800204186,202,1,0,0,1
C17,56.48444556002,-2.97508591803693,205,2,0,0,2
C18,56.4629743799978,-2.96606894603651,214,0,1,0,1
C19,56.4602469399952,-2.96679394003794,214,0,1,0,1
C20,56.4600457999953,-2.96976435104035,214,1,0,0,1
C21,56.4725685000081,-2.973004172039,216,0,5,5,10
C22,56.4784757300103,-2.94163687701235,259,1,0,0,1
C23,56.4960184500282,-2.9472572340113,263,1,0,1,2
C24,56.4822222100133,-2.93581186900657,274,1,0,0,1
C25,56.4788597000085,-2.92216542899686,288,1,0,0,1
C26,56.4721845300008,-2.91196968199093,300,1,0,0,1
C27,56.4701633199998,-2.92066360199841,300,1,0,0,1
C28,56.4779682400066,-2.91347151799029,301,1,0,0,1
C29,56.4898292600188,-2.91747528298973,304,2,0,0,2
C30,56.4699941399984,-2.9103006519903,314,1,0,0,1
C31,56.4757271300196,-3.04799036209754,91,1,0,0,1
C32,56.4655382700089,-3.04197667709592,103,0,0,1,1
C33,56.4556316799971,-3.02418141408486,129,1,0,0,1
C34,56.4821483000233,-3.02469738307701,134,0,0,1,1
C35,56.4623803200029,-3.01641701507659,144,0,1,0,1
C36,56.4574999999938,-2.97849998704806,199,0,0,1,1
C37,56.4568152999931,-2.97785368804777,199,0,1,0,1
C38,56.4601644599962,-2.97591113804518,200,6,0,0,6
C39,56.4587868999955,-2.98178996105026,200,0,1,0,1
C40,56.4614971599964,-2.9664782670373,214,0,2,0,2
C41,56.463556159998,-2.96249818303351,228,3,0,0,3
C42,56.485887070012,-2.89249495697129,345,0,1,0,1
C43,56.4677903699921,-2.87358003296213,369,0,1,1,2
