,min_val
0,132.0
1,1.0
2,88.0
3,70.05524816136105
4,104.95833519450986
5,30.0
6,98.28018141629184
7,136.0
8,89.0
9,81.0
10,36.454128318949714
11,117.0
12,55.12598564678649
13,54.00648035502083
14,29.0
15,25.752189483186502
16,136.0
17,136.0
18,49.0
19,49.0
20,136.0
21,27.0
22,32.0
23,2.0
24,18.307487679209522
25,0.0
26,47.87708790471377
27,21.0
28,53.62667560016897
29,72.0
30,109.0
31,139.0
32,63.0
33,139.0
34,63.0
35,96.0
36,129.0
37,121.0
38,96.0
39,136.0
40,150.0
41,89.0
42,104.0
43,49.0
44,16.21962830776
45,98.0
46,98.0
47,136.0
48,66.33653691187529
49,62.25738881199653
50,60.0
51,59.0
52,59.0
53,28.189509754123673
54,58.884341637387536
55,78.09878985599434
56,24.054734077478916
57,106.0
58,14.0
59,75.4585043467215
60,36.0
61,16.0
62,52.0
63,15.158364857870119
64,107.0
65,15.0
66,15.0
67,15.0
68,25.0
69,17.02921907440002
70,50.0
71,106.0
72,77.0
73,51.0
74,72.0
75,24.0
76,76.0
77,98.0
78,98.0
79,57.0
80,93.0
81,45.0
82,54.8078288661927
83,119.0
84,59.0
85,24.0
86,24.0
87,49.0
88,67.0
89,49.0
90,32.0
91,40.33952573584188
92,33.80967641079332
93,117.0
94,94.0
95,75.40629500200218
96,93.0
97,91.0517272377258
98,149.0
99,94.0
100,115.0
101,69.0
102,136.0
103,76.0
104,36.0
105,30.0
106,76.0
107,36.0
108,30.0
109,94.0
110,110.73290945758048
111,137.0
112,0.0
113,116.0
114,35.0
115,72.0
116,30.0
117,125.0
118,29.0
119,28.547207806708233
120,88.0
121,130.0
122,54.844053324673126
123,8.0
124,4.0
125,61.92437344848648
126,112.0
127,139.0
128,21.392609271052805
129,107.0
130,72.0
131,127.0
132,17.0
133,86.0
134,120.0
135,93.46319861080742
136,132.0
137,2.0
138,2.0
139,53.71659082005952
140,139.0
141,49.88586740438547
142,24.317757309535644
143,88.0
144,88.0
145,51.737455275914094
146,132.0
147,76.0
148,65.0
149,95.0
150,65.0
151,117.0
152,90.56181476074367
153,106.0
154,46.35648119472089
155,22.945230625709517
156,58.11599024826983
157,95.0
158,136.0
159,136.0
160,39.31026172844306
161,92.70156236039206
162,65.352298435651
163,96.2455857861933
164,34.48622526865974
165,27.0
166,27.0
167,24.0
168,33.556030112280794
169,122.0
170,43.0
171,26.17407708538867
172,44.0
173,30.842167420273547
174,124.0
175,88.0
176,99.0
177,136.0
178,136.0
179,136.0
180,98.0
181,136.0
182,136.0
183,136.0
184,20.996139351547207
185,136.0
186,61.0
187,20.0
188,20.0
189,133.0
190,96.89983809953388
191,46.258774203303325
192,50.0
193,50.0
194,28.02950513138293
195,41.53137728851427
196,29.0
197,50.0
198,29.0
199,23.70308086185358
200,29.0
201,29.0
202,29.0
203,29.0
204,29.0
205,29.0
206,29.0
207,50.0
208,29.0
209,29.0
210,120.0
211,150.0
212,74.0
213,29.0
214,91.0
215,13.532447438006216
216,17.0
217,84.0
218,40.72484151792006
219,109.0
220,63.0
221,96.0
222,140.0
223,100.0
224,11.505665991403554
225,49.69217596911479
226,42.0
227,136.0
228,45.0
229,20.0
230,103.71497897595121
231,117.0
232,99.0
233,115.0
234,128.0
235,133.0
236,95.0
237,29.0
238,72.0
239,81.37393761897401
240,134.0
241,133.0
242,116.0
243,33.0
244,115.38915866401985
245,100.99097336042169
246,96.0
247,20.0
248,63.0
249,63.0
250,140.0
251,93.25386545889417
252,134.0
253,147.0
254,148.0
255,134.0
256,148.0
257,86.52084382218223
258,95.76289317367949
259,117.0
260,27.0
261,12.927701439194264
262,39.84212005347462
263,76.38601961951856
264,85.0
265,76.63803480905757
266,47.97441944539546
267,55.267885682188414
268,59.419497082541206
269,26.556807339504083
270,23.0
271,89.72024638893576
272,27.0
273,27.0
274,107.0
275,36.26271680941747
276,70.60899162697815
277,139.0
278,60.23163899391853
279,121.0
280,27.0
281,27.0
282,27.0
283,27.0
284,132.0
285,63.0
286,63.0
287,86.0
288,136.0
289,132.0
290,132.0
291,132.0
292,132.0
293,132.0
294,132.0
295,132.0
296,132.0
297,132.0
298,132.0
299,139.0
300,132.0
301,139.0
302,24.0
303,14.0
304,27.0
305,27.0
306,98.0
307,20.0
308,20.0
309,29.783849460398145
310,89.0
311,114.0
312,143.0
313,120.0
314,24.0
315,29.0
316,150.0
317,58.0
318,14.168258032417999
319,65.0
320,122.0
321,19.0
322,30.836976238462217
323,13.0
324,93.0
325,100.0
326,149.0
327,100.0
328,148.0
329,81.0
330,83.0
331,99.0
332,56.60586328046709
333,81.0
334,61.07424367653029
335,136.0
336,59.0
337,140.0
338,59.0
339,30.0
340,30.0
341,30.724831962429306
342,83.70339453762985
343,19.0
344,51.396257310969816
345,115.0
346,26.0
