Point_ID,Latitude,Longitude,grid_number,Slow,Fast,Rapid,Total,Distance,centre_point_x,centre_point_y,bi(not_delete)
0,56.4662165,-3.0468913,89,0,0,0,0,4766.467752,-2.968479968,56.45992007,0
1,56.4722408,-2.8484737,412,0,0,0,0,7309.757209,-2.968479968,56.45992007,0
2,56.4732082,-2.8950342,328,0,0,0,0,4522.54688,-2.968479968,56.45992007,0
3,56.463504,-2.9633044,228,0,0,0,0,381.4520697,-2.968479968,56.45992007,0
4,56.4609739,-2.97765,200,0,0,0,0,559.2964126,-2.968479968,56.45992007,0
5,56.4536427,-2.9791067,198,0,0,0,0,747.8575119,-2.968479968,56.45992007,0
6,56.4822741,-2.9957357,176,0,0,0,0,2135.914631,-2.968479968,56.45992007,0
7,56.4603601,-3.0356847,102,0,0,0,0,4072.220634,-2.968479968,56.45992007,0
8,56.4649418,-3.0122711,145,0,0,0,0,2670.823803,-2.968479968,56.45992007,0
9,56.4676409,-2.9132972,299,0,0,0,0,3376.256213,-2.968479968,56.45992007,0
10,56.4632404,-2.9674348,214,0,0,0,0,210.9206356,-2.968479968,56.45992007,0
11,56.488881,-2.9509257,248,0,0,0,0,2052.024784,-2.968479968,56.45992007,0
12,56.457464,-2.9914723,171,0,0,0,0,1401.099397,-2.968479968,56.45992007,0
13,56.4873704,-2.9841555,191,0,0,0,0,1915.392014,-2.968479968,56.45992007,0
15,56.4628365,-2.9851833,186,0,0,0,0,1027.415796,-2.968479968,56.45992007,0
16,56.4625547,-2.9648451,214,0,0,0,0,272.018109,-2.968479968,56.45992007,0
18,56.4602057,-3.0347787,116,0,0,0,0,4017.27341,-2.968479968,56.45992007,0
19,56.4600223,-3.0342885,116,0,0,0,0,3987.538273,-2.968479968,56.45992007,0
20,56.4599071,-2.9608617,228,0,0,0,0,461.6140651,-2.968479968,56.45992007,0
21,56.4602076,-2.9611648,228,0,0,0,0,443.5899383,-2.968479968,56.45992007,0
22,56.459397,-3.0499854,88,0,0,0,0,4938.756732,-2.968479968,56.45992007,0
23,56.4597774,-3.0506936,88,0,0,0,0,4981.574464,-2.968479968,56.45992007,0
24,56.46049931,-2.963697202,228,0,0,0,0,291.9195565,-2.968479968,56.45992007,0
