,Ref,geometry,Number of Charging Points,Number of Slow Charging Points,Number of Fast Charging Points,Number of Rapid Charging Points,Number of PoI,Number of Potential Locations,Distance from Centre,NEIGHBORS,Demand_0,Demand_1,Demand_2,Demand_3,x_centre,y_centre
156,157,"POLYGON ((-3.008810406770437 56.45359320122489, -3.008940269983936 56.4584911433193, -3.000094058576659 56.45856274187415, -2.999965333223151 56.45366478656688, -3.008810406770437 56.45359320122489))",0,0,0,0,0,1,2334.373914915048,"[142, 143, 144, 156, 158, 170, 171, 172]",0.0,0.0,63.14016612869779,401.8418080376355,-3.005324095064924,56.455581014842025
158,159,"POLYGON ((-3.009070173986712 56.46338908132782, -3.009200118796403 56.46828701525071, -3.00035163059733 56.46835864024146, -3.000222824362224 56.46346069309894, -3.009070173986712 56.46338908132782))",1,1,0,0,0,0,2202.046456543471,"[144, 145, 146, 158, 160, 172, 173, 174]",4189.01,0.0,0.0,0.0,-3.005582984345876,56.46537690224934
159,160,"POLYGON ((-3.009200118796403 56.46828701525071, -3.009330104430657 56.47318494508812, -3.000480477299468 56.47325658330193, -3.00035163059733 56.46835864024146, -3.009200118796403 56.46828701525071))",3,3,0,0,2,1,2332.555878068641,"[145, 146, 147, 159, 161, 173, 174, 175]",12945.81,14166.50687698719,16526.56997182301,20643.31432109064,-3.0057124899840524,56.47027483982659
170,171,"POLYGON ((-2.999965333223151 56.45366478656688, -3.000094058576659 56.45856274187415, -2.991247806737355 56.45863371018426, -2.99112021926131 56.45373574178041, -2.999965333223151 56.45366478656688))",0,0,0,0,3,4,1833.938353884699,"[156, 157, 158, 170, 172, 184, 185, 186]",0.0,0.0,1748.292814739491,5850.387310277629,-2.996478550204325,56.45565235339452
171,172,"POLYGON ((-3.000094058576659 56.45856274187415, -3.000222824362224 56.46346069309894, -2.991375434288226 56.46353167450901, -2.991247806737355 56.45863371018426, -3.000094058576659 56.45856274187415))",0,0,0,0,1,3,1663.089030919201,"[157, 158, 159, 171, 173, 185, 186, 187]",0.0,434.1842443605133,1900.300470546861,5521.607452118378,-2.996606836508225,56.4605503123081
172,173,"POLYGON ((-3.000222824362224 56.46346069309894, -3.00035163059733 56.46835864024146, -2.991503101931252 56.46842963475488, -2.991375434288226 56.46353167450901, -3.000222824362224 56.46346069309894))",2,2,0,0,0,0,1662.238523193755,"[158, 159, 160, 172, 174, 186, 187, 188]",1098.23,0.0,0.0,0.0,-2.9967351631082515,56.465448267140644
174,175,"POLYGON ((-3.000480477299468 56.47325658330193, -3.000609364486142 56.47815452228055, -2.99175855756313 56.47822554301074, -2.99163080968377 56.47332759092205, -3.000480477299468 56.47325658330193))",0,0,0,0,2,6,2131.030292458208,"[160, 161, 162, 174, 176, 188, 189, 190]",0.0,6385.693043460604,10822.23340884453,16872.03331035169,-2.996991937266396,56.475244164563435
183,184,"POLYGON ((-2.990992671842769 56.44883776929721, -2.991120219261309 56.45373574178041, -2.98227506524199 56.45380606685932, -2.982148655361145 56.44890808139914, -2.990992671842769 56.44883776929721))",0,0,0,0,0,2,1750.455953964989,"[169, 170, 171, 183, 185, 197, 198, 199]",0.0,5092.81043007388,11616.94958868551,20539.03222243256,-2.987505856709997,56.45082508572666
184,185,"POLYGON ((-2.991120219261309 56.45373574178041, -2.991247806737354 56.45863371018426, -2.982401514823255 56.45870404824355, -2.98227506524199 56.45380606685932, -2.991120219261309 56.45373574178041))",0,0,0,0,4,7,1368.208588401056,"[170, 171, 172, 184, 186, 198, 199, 200]",0.0,7680.818127102717,17926.03782599065,32311.50942766639,-2.9876329650650435,56.455723061769596
185,186,"POLYGON ((-2.991247806737354 56.45863371018426, -2.991375434288225 56.46353167450901, -2.982528004122105 56.46360202555199, -2.982401514823255 56.45870404824355, -2.991247806737354 56.45863371018426))",0,0,0,0,1,15,1128.950831652411,"[171, 172, 173, 185, 187, 199, 200, 201]",0.0,7654.225769165709,17443.06877497719,31155.78860245832,-2.9877601133416585,56.460621033734604
186,187,"POLYGON ((-2.991375434288225 56.46353167450901, -2.991503101931251 56.46842963475488, -2.98265453315571 56.46849999878486, -2.982528004122105 56.46360202555199, -2.991375434288225 56.46353167450901))",0,0,0,0,0,4,1127.697549662257,"[172, 173, 174, 186, 188, 200, 201, 202]",0.0,2518.455986387568,6917.603945790971,14517.29828204972,-2.987887301557103,56.46551900162194
187,188,"POLYGON ((-2.991503101931251 56.46842963475488, -2.991630809683768 56.47332759092205, -2.98278110194126 56.47339796794239, -2.98265453315571 56.46849999878486, -2.991503101931251 56.46842963475488))",0,0,0,0,0,2,1365.104424962125,"[173, 174, 175, 187, 189, 201, 202, 203]",0.0,2205.251117442256,6249.583424839154,12304.36797804684,-2.988014529728648,56.47041696543181
188,189,"POLYGON ((-2.991630809683768 56.47332759092205, -2.991758557563128 56.47822554301074, -2.982907710495946 56.47829593302475, -2.98278110194126 56.47339796794239, -2.991630809683768 56.47332759092205))",6,6,0,0,1,1,1746.412025525311,"[174, 175, 176, 188, 190, 202, 203, 204]",25933.14,29257.74219122205,31135.53173840207,34669.55368151655,-2.988141797873574,56.47531492516439
189,190,"POLYGON ((-2.991758557563128 56.47822554301074, -2.99188634558669 56.48312349102115, -2.983034358836973 56.4831938940322, -2.982907710495946 56.47829593302475, -2.991758557563128 56.47822554301074))",3,2,0,1,0,0,2197.961869336907,"[175, 176, 177, 189, 191, 203, 204, 205]",38170.24400000001,0.0,0.0,0.0,-2.988269106009173,56.48021288081992
197,198,"POLYGON ((-2.982148655361145 56.44890808139914, -2.98227506524199 56.45380606685932, -2.97342987152228 56.45387576179769, -2.973304599196283 56.44897776347671, -2.982148655361145 56.44890808139914))",0,0,0,0,0,2,1472.208357063599,"[183, 184, 185, 197, 199, 211, 212, 213]",0.0,5055.288049142324,12361.59186181674,22871.1674817399,-2.978661369336568,56.4508951509864
198,199,"POLYGON ((-2.98227506524199 56.45380606685932, -2.982401514823255 56.45870404824355, -2.973555183191601 56.45877375604599, -2.97342987152228 56.45387576179769, -2.98227506524199 56.45380606685932))",3,1,1,1,8,13,987.5708284526436,"[184, 185, 186, 198, 200, 212, 213, 214]",61799.099,66431.56112429657,76229.77392179765,93064.4145271874,-2.978787340004223,56.455793139961166
199,200,"POLYGON ((-2.982401514823255 56.45870404824355, -2.982528004122105 56.46360202555199, -2.973680534221252 56.46367174622181, -2.973555183191601 56.45877375604599, -2.982401514823255 56.45870404824355))",8,6,2,0,8,18,614.6799005377443,"[185, 186, 187, 199, 201, 213, 214, 215]",29688.999,37365.24094085002,50048.88331266202,69983.10777783504,-2.978913350236294,56.46069112486138
200,201,"POLYGON ((-2.982528004122105 56.46360202555199, -2.98265453315571 56.46849999878486, -2.973805924628257 56.46856973232538, -2.973680534221252 56.46367174622181, -2.982528004122105 56.46360202555199))",0,0,0,0,0,3,612.375018555361,"[186, 187, 188, 200, 202, 214, 215, 216]",0.0,3976.62442844769,11099.62342199778,23052.22435302107,-2.979039400049886,56.46558910568721
201,202,"POLYGON ((-2.98265453315571 56.46849999878486, -2.98278110194126 56.47339796794239, -2.973931354429642 56.4734677143569, -2.973805924628257 56.46856973232538, -2.98265453315571 56.46849999878486))",0,0,0,0,1,3,983.265727505843,"[187, 188, 189, 201, 203, 215, 216, 217]",0.0,2142.493192388718,6162.101794793218,12688.32265791958,-2.979165489462116,56.47048708243888
202,203,"POLYGON ((-2.98278110194126 56.47339796794239, -2.982907710495946 56.47829593302475, -2.97405682364245 56.47836569231657, -2.973931354429642 56.4734677143569, -2.98278110194126 56.47339796794239))",0,0,0,0,0,2,1467.39782020277,"[188, 189, 190, 202, 204, 216, 217, 218]",0.0,5293.319514402175,8080.8123192687,11885.51736033295,-2.9792916184901115,56.475385055116604
212,213,"POLYGON ((-2.97342987152228 56.45387576179769, -2.973555183191599 56.45877375604599, -2.964708812199643 56.45884283358558, -2.964584638459279 56.45394482658948, -2.97342987152228 56.45387576179769))",0,0,0,0,2,7,820.5084310100535,"[198, 199, 200, 212, 214, 226, 227, 228]",0.0,10111.7766821248,22703.06395182177,39325.04111195226,-2.969941675379016,56.45586258796328
213,214,"POLYGON ((-2.973555183191599 56.45877375604599, -2.973680534221252 56.46367174622181, -2.964833024943078 56.4637408365125, -2.964708812199643 56.45884283358558, -2.973555183191599 56.45877375604599))",3,0,3,0,28,9,275.2622826920517,"[199, 200, 201, 213, 215, 227, 228, 229]",18695.285,29378.40164897464,43731.74668617785,64046.7364646238,-2.970066547549434,56.46076058568237
214,215,"POLYGON ((-2.973680534221252 56.46367174622181, -2.973805924628255 56.46856973232538, -2.96495727670645 56.46863883537043, -2.964833024943078 56.4637408365125, -2.973680534221252 56.46367174622181))",0,0,0,0,4,5,270.0761142686011,"[200, 201, 202, 214, 216, 228, 229, 230]",0.0,5250.976355323207,12982.76373500318,24911.84265925175,-2.9701914589440572,56.46565857933039
215,216,"POLYGON ((-2.973805924628255 56.46856973232538, -2.973931354429642 56.4734677143569, -2.965081567506633 56.47353683015959, -2.96495727670645 56.46863883537043, -2.973805924628255 56.46856973232538))",0,0,0,0,1,1,815.3216758036931,"[201, 202, 203, 215, 217, 229, 230, 231]",0.0,151.7278861417543,1893.631560483153,5876.555139567228,-2.970316409579847,56.47055656890753
