,Ref,geometry,Number of Charging Points,Number of Slow Charging Points,Number of Fast Charging Points,Number of Rapid Charging Points,Number of PoI,Number of Potential Locations,Distance from Centre,NEIGHBORS,Demand_0,Demand_1,Demand_2,Demand_3,x_centre,y_centre
60,61,"POLYGON ((-3.07100045875361 56.46287014934428, -3.071138373082625 56.46776798747282, -3.062290178162828 56.46784402562987, -3.062153402281624 56.46294617346751, -3.07100045875361 56.46287014934428))",0,0,0,0,0,2,6008.38028581762,"[46, 47, 48, 60, 62, 74, 75, 76]",0.0,75.19580263883192,156.5261677432825,248.5023913243176,-3.0675165742068593,56.46485969705175
74,75,"POLYGON ((-3.062153402281623 56.46294617346751, -3.062290178162828 56.46784402562987, -3.053441940273539 56.46791943335372, -3.053306302858719 56.46302156727385, -3.062153402281623 56.46294617346751))",0,0,0,0,0,3,5463.7172474456,"[60, 61, 62, 74, 76, 88, 89, 90]",0.0,75.39986180474463,169.1992491593538,309.5685021959146,-3.0586690451716665,56.464935474638494
75,76,"POLYGON ((-3.062290178162828 56.46784402562987, -3.062426997013555 56.47274187368577, -3.053577620300416 56.47281729533072, -3.053441940273539 56.46791943335372, -3.062290178162828 56.46784402562987))",0,0,0,0,1,4,5517.60949031113,"[61, 62, 63, 75, 77, 89, 90, 91]",924.2310529953917,924.2310529953917,961.2798332853475,1060.216621668643,-3.0588053827826327,56.46983333072599
76,77,"POLYGON ((-3.062426997013555 56.47274187368577, -3.06256385885239 56.47763971763539, -3.053713342957778 56.47771515320503, -3.053577620300416 56.47281729533072, -3.062426997013555 56.47274187368577))",0,0,0,0,0,1,5624.096314913151,"[62, 63, 64, 76, 78, 90, 91, 92]",0.0,75.09377305587557,162.5291263938796,277.1918224114263,-3.058941763227539,56.47473118270854
87,88,"POLYGON ((-3.053170708037534 56.45812369709087, -3.053306302858719 56.46302156727385, -3.044459160842207 56.46309633075683, -3.044324704148503 56.45819844677619, -3.053170708037534 56.45812369709087))",0,0,0,0,0,3,4919.475929624508,"[73, 74, 75, 87, 89, 101, 102, 103]",0.0,0.0,84.8112611900464,288.0340005239119,-3.049686316784899,56.46011274779772
88,89,"POLYGON ((-3.053306302858719 56.46302156727385, -3.053441940273539 56.46791943335372, -3.044593659772223 56.46799421063793, -3.044459160842207 56.46309633075683, -3.053306302858719 56.46302156727385))",0,0,0,0,0,13,4919.188470203242,"[74, 75, 76, 88, 90, 102, 103, 104]",0.0,75.09377305587557,270.6487503091058,662.756544957555,-3.049821473321081,56.465010621859236
89,90,"POLYGON ((-3.053441940273539 56.46791943335372, -3.053577620300416 56.47281729533072, -3.044728200956818 56.47289208641969, -3.044593659772223 56.46799421063793, -3.053441940273539 56.46791943335372))",0,0,0,0,0,6,4978.978161522445,"[75, 76, 77, 89, 91, 103, 104, 105]",0.0,75.24681743031012,247.3422145551156,625.922174920087,-3.049956672315307,56.46990849181915
90,91,"POLYGON ((-3.053577620300416 56.47281729533072, -3.053713342957778 56.47771515320503, -3.044862784414268 56.4777899581023, -3.044728200956818 56.47289208641969, -3.053577620300416 56.47281729533072))",0,0,0,0,2,4,5096.73114895868,"[76, 77, 78, 90, 92, 104, 105, 106]",0.0,76.64955527280937,202.6111339139578,544.3692372665807,-3.050091913785939,56.4748063576777
100,101,"POLYGON ((-3.044190289672857 56.4533005586958, -3.044324704148503 56.45819844677619, -3.035478658041443 56.45827256624801, -3.035345381354356 56.45337466448976, -3.044190289672857 56.4533005586958))",0,0,0,0,0,1,4442.921760834454,"[86, 87, 88, 100, 102, 114, 115, 116]",0.0,0.0,72.23001658269742,241.8211490949761,-3.0407058645780034,56.45528935898111
101,102,"POLYGON ((-3.044324704148503 56.45819844677619, -3.044459160842206 56.46309633075683, -3.035611976589411 56.46317046391005, -3.035478658041443 56.45827256624801, -3.044324704148503 56.45819844677619))",0,0,0,0,0,3,4375.167312436244,"[87, 88, 89, 101, 103, 115, 116, 117]",0.0,444.6315721382473,968.1722784484513,1627.425046129838,-3.040839840754013,56.460187250893455
