,amenity,geometry,Latitude,Longitude,grid number,distance1,city center_x,city center_y,Distance
3,fuel,POINT (-2.963304387034162 56.46350399999802),56.463504,-2.9633044,228,0.0062953203676267165,-2.96847996830906,56.4599200704235,381.45206972674345
4,fuel,POINT (-2.9776499870463 56.46097389999711),56.4609739,-2.97765,200,0.009230386665202685,-2.96847996830906,56.4599200704235,559.2964126060937
5,fuel,POINT (-2.979106687049753 56.4536426999901),56.4536427,-2.9791067,198,0.012342317686116579,-2.96847996830906,56.4599200704235,747.8575118757678
6,fuel,POINT (-2.995735687053973 56.48227410002016),56.4822741,-2.9957357,176,0.035250213450636704,-2.96847996830906,56.4599200704235,2135.9146308425275
10,parking,POINT (-2.96743478703751 56.46324039999823),56.4632404,-2.9674348,214,0.003480943161101521,-2.96847996830906,56.4599200704235,210.9206356250782
11,fuel,POINT (-2.950925687016429 56.48888100002161),56.488881,-2.9509257,248,0.033865731614737035,-2.96847996830906,56.4599200704235,2052.0247839462836
12,parking,POINT (-2.991472287058346 56.45746399999524),56.457464,-2.9914723,171,0.023123139893002985,-2.96847996830906,56.4599200704235,1401.0993969624176
13,fuel,POINT (-2.984155487043202 56.4873704000239),56.4873704,-2.9841555,191,0.031610803337661295,-2.96847996830906,56.4599200704235,1915.392014183024
14,parking,POINT (-2.975530287044931 56.45999719999594),56.4599972,-2.9755303,200,0.007050753571345694,-2.96847996830906,56.4599200704235,427.22600056285484
15,parking,POINT (-2.985183287051683 56.46283649999981),56.4628365,-2.9851833,186,0.016956026983118974,-2.96847996830906,56.4599200704235,1027.4157960751395
16,parking,POINT (-2.964845087035675 56.46255469999726),56.4625547,-2.9648451,214,0.004489269498433794,-2.96847996830906,56.4599200704235,272.0181089662775
17,parking,POINT (-2.982004887050449 56.45873969999544),56.4587397,-2.9820049,200,0.013576341612572543,-2.96847996830906,56.4599200704235,822.6306692927601
20,parking,POINT (-2.960861687033359 56.4599070999942),56.4599071,-2.9608617,228,0.0076182793503986185,-2.96847996830906,56.4599200704235,461.61406509349814
21,parking,POINT (-2.961164787033506 56.46020759999455),56.4602076,-2.9611648,228,0.007320816938513935,-2.96847996830906,56.4599200704235,443.5899382733887
24,parking,POINT (-2.963697189023639 56.46049930784675),56.46049930785163,-2.963697201988225,228,0.004817714154851384,-2.96847996830906,56.4599200704235,291.9195415646014
29,parking,POINT (-2.973549263739344 56.45656458244881),56.45656458245647,-2.973549276694905,199,0.006079242305391904,-2.96847996830906,56.4599200704235,368.3592612199881
30,parking,POINT (-2.966261141377124 56.4613630330628),56.46136303306657,-2.966261154339954,214,0.002646748310434973,-2.96847996830906,56.4599200704235,160.37430378492326
31,parking,POINT (-2.970272530472112 56.46415073160496),56.46415073160552,-2.970272543432643,215,0.004594760016665375,-2.96847996830906,56.4599200704235,278.4100912906263
32,parking,POINT (-2.97200763090754 56.46077867173651),56.46077867174021,-2.97200764386564,214,0.0036306598647552284,-2.96847996830906,56.4599200704235,219.99241325454653
33,parking,POINT (-2.975498573521541 56.45953444881067),56.45953444881518,-2.97549858647649,200,0.007029203724817338,-2.96847996830906,56.4599200704235,425.92023166143287
34,parking,POINT (-2.986573628657317 56.45280821747222),56.45280821748212,-2.986573641601392,184,0.01944117963163339,-2.96847996830906,56.4599200704235,1177.9985410355994
35,parking,POINT (-2.971804632494632 56.46468840542192),56.46468840542178,-2.971804645454119,215,0.005812959381822583,-2.96847996830906,56.4599200704235,352.224391761915
45,parking,POINT (-2.986780241836322 56.469546113505),56.46954611349837,-2.986780254785473,188,0.02067755281453758,-2.96847996830906,56.4599200704235,1252.9140468450742
47,parking,POINT (-2.977619208437929 56.45418145576097),56.45418145577052,-2.977619221389522,199,0.01079155433680318,-2.96847996830906,56.4599200704235,653.8921765619465
48,parking,POINT (-2.955336733871158 56.46124483239917),56.46124483240427,-2.955336746842584,242,0.013209816986715537,-2.96847996830906,56.4599200704235,800.4218587836162
49,parking,POINT (-2.970155184938044 56.45614366957295),56.45614366958141,-2.970155197896158,213,0.004131294892602401,-2.96847996830906,56.4599200704235,250.32736944391726
53,parking,POINT (-2.959614728453796 56.46416479760472),56.46416479760646,-2.959614741422758,229,0.009829036402585267,-2.96847996830906,56.4599200704235,595.5703697727955
54,parking,POINT (-2.961515747408277 56.46375128447227),56.46375128447421,-2.961515760375607,228,0.007948483707145173,-2.96847996830906,56.4599200704235,481.62212313634024
55,parking,POINT (-2.964131130242926 56.46466069005685),56.46466069005759,-2.964131143208474,229,0.006433176064015357,-2.96847996830906,56.4599200704235,389.80515386547694
58,parking,POINT (-2.994358019095757 56.48106994724623),56.4810699472274,-2.9943580320425,176,0.03342142234274263,-2.96847996830906,56.4599200704235,2025.1027718001503
59,parking,POINT (-2.994351085838674 56.48250089418928),56.48250089416904,-2.994351098785873,176,0.034339612595012364,-2.96847996830906,56.4599200704235,2080.7386333096497
60,parking,POINT (-2.993010682219039 56.48141163639998),56.48141163638098,-2.99301069516696,176,0.03261355496540866,-2.96847996830906,56.4599200704235,1976.1516993919108
61,parking,POINT (-2.993930666635965 56.4816905640554),56.48169056403601,-2.993930679583243,176,0.03349168697593577,-2.96847996830906,56.4599200704235,2029.360313624065
62,parking,POINT (-2.997229065081013 56.48199072598698),56.48199072596692,-2.997229078025767,176,0.03624396702375994,-2.96847996830906,56.4599200704235,2196.129097323939
63,parking,POINT (-2.974731007224352 56.46053951720985),56.46053951721346,-2.974731020180225,200,0.006281668872329116,-2.96847996830906,56.4599200704235,380.6248852735243
64,parking,POINT (-2.974157137043835 56.46003039999584),56.4600304,-2.97415715,200,0.005678253654724769,-2.96847996830906,56.4599200704235,344.06217357366444
65,parking,POINT (-2.975616681635069 56.45673972738082),56.45673972738809,-2.97561669458905,199,0.007813286364800782,-2.96847996830906,56.4599200704235,473.4301165271095
66,parking,POINT (-2.976787653590302 56.45923198369045),56.45923198369511,-2.976787666544138,200,0.008336144990995713,-2.96847996830906,56.4599200704235,505.1116662322164
67,parking,POINT (-2.970937717043256 56.45811983540776),56.45811983541417,-2.970937730001371,213,0.003046545359090926,-2.96847996830906,56.4599200704235,184.59918874307343
68,parking,POINT (-2.966199132494746 56.46174928471916),56.46174928472254,-2.966199145457747,214,0.002923726702497093,-2.96847996830906,56.4599200704235,177.15724329424512
70,parking,POINT (-2.976638046244776 56.45761676686553),56.4576167668718,-2.976638059198223,199,0.008477007385104485,-2.96847996830906,56.4599200704235,513.6469350734608
71,parking,POINT (-2.976867644252216 56.45817450410748),56.45817450411317,-2.976867657205654,199,0.008567399066800601,-2.96847996830906,56.4599200704235,519.12403426072
72,parking,POINT (-2.976718094867747 56.45830005864897),56.45830005865457,-2.976718107821345,199,0.008395914527634298,-2.96847996830906,56.4599200704235,508.7332791329101
74,parking,POINT (-2.963125687034553 56.46180304999633),56.46180305000001,-2.9631257,228,0.0056757203252932355,-2.96847996830906,56.4599200704235,343.9086716550127
75,parking,POINT (-2.982455148991398 56.4645136650867),56.46451366508553,-2.982455161942401,201,0.014710783426059979,-2.96847996830906,56.4599200704235,891.3698521252425
76,parking,POINT (-2.99687634400457 56.48232283896782),56.48232283894747,-2.996876356949708,176,0.03616958563999863,-2.96847996830906,56.4599200704235,2191.6221094141897
77,parking,POINT (-2.967407829773896 56.46474488530146),56.46474488530176,-2.967407842736878,215,0.00494249854345184,-2.96847996830906,56.4599200704235,299.4805965263165
78,parking,POINT (-2.965391229251322 56.46431626989778),56.46431626989872,-2.965391242215766,215,0.005372783143333601,-2.96847996830906,56.4599200704235,325.55281233291544
79,parking,POINT (-2.986433222203429 56.45647709840792),56.45647709841423,-2.986433235148765,185,0.018280422491677984,-2.96847996830906,56.4599200704235,1107.6648347856335
80,parking,POINT (-2.984902642980384 56.45787048228134),56.45787048228645,-2.984902655927367,185,0.01655009003419696,-2.96847996830906,56.4599200704235,1002.8188764106305
82,parking,POINT (-2.968940978434518 56.45637890797407),56.45637890798243,-2.968940991393665,213,0.0035710465858852444,-2.96847996830906,56.4599200704235,216.38026847394252
91,parking,POINT (-2.974451477608476 56.45677551725375),56.45677551726109,-2.974451490563388,199,0.0067488734337768875,-2.96847996830906,56.4599200704235,408.9341906849682
92,parking,POINT (-2.974943078226671 56.47521586440272),56.47521586439185,-2.974943091186969,203,0.016605218169513256,-2.96847996830906,56.4599200704235,1006.1592530854564
93,parking,POINT (-2.966592325940804 56.47310460515047),56.47310460514262,-2.966592338907051,216,0.013318975205288477,-2.96847996830906,56.4599200704235,807.036077913187
94,parking,POINT (-2.976018663918279 56.45386629942804),56.45386629943807,-2.97601867687104,199,0.009668519531268694,-2.96847996830906,56.4599200704235,585.8441780598787
