,amenity,geometry,Latitude,Longitude,grid number,distance1,city center_x,city center_y,Distance
0,parking,POINT (-3.046891287099621 56.46621650001012),56.4662165,-3.0468913,89,0.07866372711077489,-2.96847996830906,56.4599200704235,4766.467751686004
1,fuel,POINT (-2.848473686941031 56.47224079999363),56.4722408,-2.8484737,412,0.12063707892171192,-2.96847996830906,56.4599200704235,7309.757209039964
2,parking,POINT (-2.895034186977277 56.47320819999986),56.4732082,-2.8950342,328,0.07463816229081481,-2.96847996830906,56.4599200704235,4522.546879876293
7,parking,POINT (-3.035684687092531 56.46036010000307),56.4603601,-3.0356847,102,0.06720617224392002,-2.96847996830906,56.4599200704235,4072.2206343439584
8,parking,POINT (-3.0122710870725 56.46494180000494),56.4649418,-3.0122711,145,0.04407812362967292,-2.96847996830906,56.4599200704235,2670.8238034514256
9,parking,POINT (-2.913297186993403 56.46764089999645),56.4676409,-2.9132972,299,0.05572027573155676,-2.96847996830906,56.4599200704235,3376.2562129240728
18,parking,POINT (-3.034778687091857 56.46020570000282),56.4602057,-3.0347787,116,0.06629934696572982,-2.96847996830906,56.4599200704235,4017.2734102082336
19,parking,POINT (-3.034288487091527 56.46002230000258),56.4600223,-3.0342885,116,0.0658086110946265,-2.96847996830906,56.4599200704235,3987.538273187385
22,parking,POINT (-3.049985387104206 56.45939700000373),56.459397,-3.0499854,88,0.08150711010577216,-2.96847996830906,56.4599200704235,4938.756732250853
23,parking,POINT (-3.050693587104651 56.45977740000419),56.4597774,-3.0506936,88,0.0822137554832721,-2.96847996830906,56.4599200704235,4981.574464481978
25,parking,POINT (-2.87396168742653 56.46787710294939),56.46787710295717,-2.873961700464132,369,0.09485260841509513,-2.96847996830906,56.4599200704235,5747.399923438459
26,parking,POINT (-2.872655908881649 56.46640733425598),56.46640733426534,-2.872655921919811,369,0.09604338841670758,-2.96847996830906,56.4599200704235,5819.552803622303
27,parking,POINT (-2.858265131370948 56.47464333599857),56.47464333600146,-2.858265144423002,399,0.111193893508205,-2.96847996830906,56.4599200704235,6737.566691251656
28,parking,POINT (-2.853758372997233 56.48317393213979),56.4831739321348,-2.853758386055514,400,0.11705461767587493,-2.96847996830906,56.4599200704235,7092.685292578381
36,parking,POINT (-3.043560270654456 56.48520370894382),56.48520370891535,-3.043560283563392,107,0.07922320439162032,-2.96847996830906,56.4599200704235,4800.368133919297
37,parking,POINT (-3.039650829256285 56.48113838990191),56.48113838987791,-3.039650842167069,106,0.0742664821179927,-2.96847996830906,56.4599200704235,4500.025679536994
38,parking,POINT (-3.041226264448168 56.48385852124473),56.48385852121786,-3.041226277358545,107,0.0765837770468214,-2.96847996830906,56.4599200704235,4640.43742908267
39,parking,POINT (-3.040052977358733 56.48375310124738),56.48375310122074,-3.040052990270009,107,0.07543680023439991,-2.96847996830906,56.4599200704235,4570.938713611944
40,parking,POINT (-3.035733704778999 56.48621489386462),56.48621489383606,-3.035733717694479,121,0.07221138791558177,-2.96847996830906,56.4599200704235,4375.501447057209
41,parking,POINT (-3.028093290004356 56.49740474443342),56.49740474439466,-3.028093302929389,123,0.07041910569780942,-2.96847996830906,56.4599200704235,4266.90176958576
42,parking,POINT (-3.042662621880085 56.49602658630295),56.49602658626392,-3.042662634793094,109,0.08250302111326689,-2.96847996830906,56.4599200704235,4999.101924058101
43,parking,POINT (-3.035712071121514 56.48704619580487),56.48704619577546,-3.035712084037268,121,0.0724981659209497,-2.96847996830906,56.4599200704235,4392.8781741038965
44,parking,POINT (-3.048394463920702 56.46015476930922),56.46015476930494,-3.048394476817999,88,0.07991485314877475,-2.96847996830906,56.4599200704235,4842.277176594427
46,parking,POINT (-3.011664309093877 56.46804438431585),56.4680443843079,-3.011664322022826,145,0.043941926240982324,-2.96847996830906,56.4599200704235,2662.571201077991
50,parking,POINT (-3.03494948936801 56.46415765587675),56.46415765587003,-3.034949502277248,117,0.06660447489744782,-2.96847996830906,56.4599200704235,4035.7620135339366
51,parking,POINT (-3.032586715393592 56.46460988288645),56.46460988287956,-3.032586728304852,117,0.0642780757181724,-2.96847996830906,56.4599200704235,3894.798610541985
52,parking,POINT (-3.042725331076857 56.46339453057062),56.46339453056376,-3.042725343979673,103,0.07432662834904284,-2.96847996830906,56.4599200704235,4503.670117465575
56,parking,POINT (-3.02744473708805 56.45373674999562),56.45373675000001,-3.027444750000003,115,0.05928810109389667,-2.96847996830906,56.4599200704235,3592.441297941628
57,parking,POINT (-3.026187237087003 56.45388604999561),56.45388604999999,-3.02618725,129,0.0580218903744861,-2.96847996830906,56.4599200704235,3515.7178475969654
69,parking,POINT (-2.867052396070946 56.46390750829446),56.46390750830692,-2.867052409112717,382,0.1015059083275536,-2.96847996830906,56.4599200704235,6150.543031956194
73,parking,POINT (-2.876607419428395 56.46683977056047),56.46683977056899,-2.876607432463592,355,0.09213275797880069,-2.96847996830906,56.4599200704235,5582.596145761481
81,parking,POINT (-3.024658645433904 56.45556772226028),56.45556772226318,-3.02465865834864,129,0.0563470331878427,-2.96847996830906,56.4599200704235,3414.233299864141
83,parking,POINT (-3.035210501802936 56.46418289287124),56.46418289286445,-3.035210514711975,117,0.06686656472703431,-2.96847996830906,56.4599200704235,4051.642811033014
84,parking,POINT (-3.040816661754146 56.46512081767298),56.46512081766463,-3.040816674659018,103,0.07252342281929483,-2.96847996830906,56.4599200704235,4394.408564232756
85,parking,POINT (-3.04036726514152 56.4652329354767),56.4652329354683,-3.040367278046786,103,0.07208336726535469,-2.96847996830906,56.4599200704235,4367.744297437309
86,parking,POINT (-3.039972987094377 56.46534575000847),56.46534575,-3.039972999999991,103,0.07169861629925144,-2.96847996830906,56.4599200704235,4344.431099096494
87,parking,POINT (-3.034929019727431 56.46439172346182),56.46439172345485,-3.034929032636758,117,0.06659935308138798,-2.96847996830906,56.4599200704235,4035.451667559039
88,parking,POINT (-3.039605831694006 56.46546386577496),56.46546386576641,-3.039605844599948,103,0.07134160038119969,-2.96847996830906,56.4599200704235,4322.798449300536
89,parking,POINT (-3.038792425030988 56.46545896336931),56.46545896336087,-3.038792437937575,103,0.0705302964706123,-2.96847996830906,56.4599200704235,4273.639147184252
90,parking,POINT (-3.040368688265779 56.465233455707),56.46523345569861,-3.040368701171043,103,0.07208482486337402,-2.96847996830906,56.4599200704235,4367.832617609887
96,parking,POINT (-3.021831588025445 56.45371750961493),56.45371750961996,-3.021831600941848,129,0.05371097155242634,-2.96847996830906,56.4599200704235,3254.5065333078724
